tweet_id,created_at,loc,text,user_id,verified
1245502095312257027,2020-04-02 00:03:34+00:00,MD,gtconway darth realdonaldtrump sickening number golf days instead working corona virus https uvddmzc,u1250632,0
1245502100303491072,2020-04-02 00:03:35+00:00,VA,yung wait tell kids would made wasn corona,u41994,0
1245502113553285123,2020-04-02 00:03:38+00:00,CA,corona forecast tonight patchy thursday patchy,u227699,0
1245502115889516544,2020-04-02 00:03:39+00:00,GA,karmacorona quite corona they wanted,u9001,0
1245502128296083456,2020-04-02 00:03:42+00:00,CA,will come this canonphotography picoftheday covid corona https b5frkl,u1229542,0
1245502130032689160,2020-04-02 00:03:42+00:00,PA,zeusfanhouse here again china puts county lockdown after corona cluster emerges china longer fixed jiacounty,u1175473,0
1245502160214908936,2020-04-02 00:03:49+00:00,OH,piadinha primeiro abril recebi amiga confirmou primeiro caso corona toledo agora medoooo ódio,u272988,0
1245502164409167872,2020-04-02 00:03:50+00:00,NY,jacobinmag coronavirus crisis will lead health insurance premium increases percent next year afford that,u105639,0
1245502172344791042,2020-04-02 00:03:52+00:00,GA,moneyman doctor really dont give about opinion corona shit,u701724,0
1245502169811386368,2020-04-02 00:03:52+00:00,OR,trump loses superman over corona incompetence that this what took dump trump then https r7fjx3k7m6,u1250633,0
1245502173242368012,2020-04-02 00:03:53+00:00,TN,mackymacc wait cousin people sick corona,u1250634,0
1245502180913799170,2020-04-02 00:03:54+00:00,FL,danzu double corona cases italy does trump went from mueller report ukraine impeachment potent,u99300,0
1245502184000819201,2020-04-02 00:03:55+00:00,NJ,charlidaze whoisaddison corona said april fools,u523506,0
1245502187322724353,2020-04-02 00:03:56+00:00,MD,nas_ohgi lmfaoooo corona,u806146,0
1245502191135109120,2020-04-02 00:03:57+00:00,CA,feel myself getting sick hate cause prolly have regular cold paranoid thinking have corona virus,u240150,0
1245502196155928585,2020-04-02 00:03:58+00:00,TN,mervpilgrim nance remember that speech tore traitor only cares about herself says corona will next,u37211,0
1245502209099304960,2020-04-02 00:04:01+00:00,OR,zemanlynnz repdougcollins speakerpelosi mcconnell trump distracted impeachment couldnt focus corona except,u1231840,0
1245502215672004608,2020-04-02 00:04:03+00:00,NC,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u228381,0
1245502226845573126,2020-04-02 00:04:05+00:00,IL,jamesmurphy having somebody over this during corona just checking,u892637,0
1245502227583729664,2020-04-02 00:04:06+00:00,NM,dr_artola estos momentos perdido primer familiar corona virus,u162084,0
1245502229982797825,2020-04-02 00:04:06+00:00,CA,corona,u281881,0
1245502247351529473,2020-04-02 00:04:10+00:00,FL,anamamacopper yeah irritates that convinced corona isnt real ever suspected sure hell dont,u335928,0
1245502255077474317,2020-04-02 00:04:12+00:00,TX,julianaa_dlc once this corona stuff over yall still need have good hygiene,u599141,0
1245502267555528706,2020-04-02 00:04:15+00:00,OH,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u297226,0
1245502266737594368,2020-04-02 00:04:15+00:00,AL,lisakhat hate kitten heels they could cure corona still hate them,u123144,0
1245502284299153414,2020-04-02 00:04:19+00:00,PA,days nights babylon wall street ground zero beast system golden calf charging bull most corona cases center,u61984,0
1245502287398735874,2020-04-02 00:04:20+00:00,WA,anyone else notice that john hopkins took number corona virus cases from their covid https lbmttasej,u1250635,0
1245502300409303040,2020-04-02 00:04:23+00:00,NV,rennercameron fucking sneeze cough once goes shit saying corona this shit getting fucking,u1187582,0
1245502303680868353,2020-04-02 00:04:24+00:00,WA,bcadish youve kidding jared kushner have corona conflict interest next thing know other conflicts,u175238,0
1245502304763035648,2020-04-02 00:04:24+00:00,AZ,hope best boys dont corona from this,u1250636,0
1245502306679836672,2020-04-02 00:04:24+00:00,TX,beachbunnymusic maybe should harder should lower your expectations have corona never quaran,u34579,0
1245502313885728769,2020-04-02 00:04:26+00:00,FL,time live corona edition https vdfwdfw m4verick_1986 malusxintent freekstylethe https lnccw,u1250637,0
1245502314485551114,2020-04-02 00:04:26+00:00,MI,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u295289,0
1245502322488168448,2020-04-02 00:04:28+00:00,CA,fake april foolz corona virus,u251907,0
1245502329471692801,2020-04-02 00:04:30+00:00,IL,million deaths china from corona china hiding data dangerous facts revealed https uaqr,u148165,0
1245502335989821443,2020-04-02 00:04:31+00:00,KY,tbhtessa corona brought depression back nice,u1187620,0
1245502338615382019,2020-04-02 00:04:32+00:00,IL,corona sketch raven swordmistress chaos sketch swordmistressofchaos https gqxf z2cr2,u1175918,0
1245502344059432960,2020-04-02 00:04:33+00:00,CA,eleanortmutuc asians experiences racism xenophobia discrimination corona virus ignorant nonasian well they,u954252,0
1245502348891492352,2020-04-02 00:04:34+00:00,NJ,jika_uthi year 2025 into month corona commission inquiry billion loans disguised donations,u14526,0
